  0.9000000000E+00  0.2448632675E+01  0.2459603111E+01
  0.9100000000E+00  0.2473119001E+01  0.2484322533E+01
  0.9200000000E+00  0.2497850191E+01  0.2509290390E+01
  0.9300000000E+00  0.2522828693E+01  0.2534509178E+01
  0.9400000000E+00  0.2548056980E+01  0.2559981418E+01
  0.9500000000E+00  0.2573537550E+01  0.2585709659E+01
  0.9600000000E+00  0.2599272926E+01  0.2611696473E+01
  0.9700000000E+00  0.2625265655E+01  0.2637944459E+01
  0.9800000000E+00  0.2651518311E+01  0.2664456242E+01
  0.9900000000E+00  0.2678033494E+01  0.2691234472E+01
  0.1000000000E+01  0.2704813829E+01  0.2718281828E+01
  0.1010000000E+01  0.2731861968E+01  0.2745601015E+01
  0.1020000000E+01  0.2759180587E+01  0.2773194764E+01
  0.1030000000E+01  0.2786772393E+01  0.2801065835E+01
  0.1040000000E+01  0.2814640117E+01  0.2829217014E+01
  0.1050000000E+01  0.2842786518E+01  0.2857651118E+01
  0.1060000000E+01  0.2871214384E+01  0.2886370989E+01
  0.1070000000E+01  0.2899926527E+01  0.2915379500E+01
  0.1080000000E+01  0.2928925793E+01  0.2944679551E+01
  0.1090000000E+01  0.2958215051E+01  0.2974274073E+01
  0.1100000000E+01  0.2987797201E+01  0.3004166024E+01
  0.1110000000E+01  0.3017675173E+01  0.3034358394E+01
  0.1120000000E+01  0.3047851925E+01  0.3064854203E+01
  0.1130000000E+01  0.3078330444E+01  0.3095656500E+01
  0.1140000000E+01  0.3109113749E+01  0.3126768365E+01
  0.1150000000E+01  0.3140204886E+01  0.3158192910E+01
  0.1160000000E+01  0.3171606935E+01  0.3189933276E+01
  0.1170000000E+01  0.3203323004E+01  0.3221992639E+01
  0.1180000000E+01  0.3235356234E+01  0.3254374203E+01
  0.1190000000E+01  0.3267709797E+01  0.3287081207E+01
  0.1200000000E+01  0.3300386895E+01  0.3320116923E+01
  0.1210000000E+01  0.3333390764E+01  0.3353484653E+01
  0.1220000000E+01  0.3366724671E+01  0.3387187734E+01
  0.1230000000E+01  0.3400391918E+01  0.3421229536E+01
  0.1240000000E+01  0.3434395837E+01  0.3455613465E+01
  0.1250000000E+01  0.3468739795E+01  0.3490342957E+01
  0.1260000000E+01  0.3503427193E+01  0.3525421487E+01
  0.1270000000E+01  0.3538461465E+01  0.3560852562E+01
  0.1280000000E+01  0.3573846080E+01  0.3596639726E+01
  0.1290000000E+01  0.3609584541E+01  0.3632786556E+01
  0.1300000000E+01  0.3645680386E+01  0.3669296668E+01
  0.1310000000E+01  0.3682137190E+01  0.3706173712E+01
  0.1320000000E+01  0.3718958562E+01  0.3743421377E+01
  0.1330000000E+01  0.3756148148E+01  0.3781043388E+01
  0.1340000000E+01  0.3793709629E+01  0.3819043505E+01
  0.1350000000E+01  0.3831646725E+01  0.3857425531E+01
  0.1360000000E+01  0.3869963193E+01  0.3896193302E+01
  0.1370000000E+01  0.3908662824E+01  0.3935350695E+01
  0.1380000000E+01  0.3947749453E+01  0.3974901627E+01
  0.1390000000E+01  0.3987226947E+01  0.4014850053E+01
  0.1400000000E+01  0.4027099217E+01  0.4055199967E+01
  0.1410000000E+01  0.4067370209E+01  0.4095955404E+01
  0.1420000000E+01  0.4108043911E+01  0.4137120440E+01
  0.1430000000E+01  0.4149124350E+01  0.4178699192E+01
  0.1440000000E+01  0.4190615594E+01  0.4220695817E+01
  0.1450000000E+01  0.4232521750E+01  0.4263114515E+01
  0.1460000000E+01  0.4274846967E+01  0.4305959528E+01
  0.1470000000E+01  0.4317595437E+01  0.4349235141E+01
  0.1480000000E+01  0.4360771391E+01  0.4392945681E+01
  0.1490000000E+01  0.4404379105E+01  0.4437095519E+01
  0.1500000000E+01  0.4448422896E+01  0.4481689070E+01
  0.1510000000E+01  0.4492907125E+01  0.4526730794E+01
  0.1520000000E+01  0.4537836196E+01  0.4572225195E+01
  0.1530000000E+01  0.4583214558E+01  0.4618176822E+01
  0.1540000000E+01  0.4629046704E+01  0.4664590271E+01
  0.1550000000E+01  0.4675337171E+01  0.4711470183E+01
  0.1560000000E+01  0.4722090543E+01  0.4758821245E+01
  0.1570000000E+01  0.4769311448E+01  0.4806648194E+01
  0.1580000000E+01  0.4817004562E+01  0.4854955811E+01
  0.1590000000E+01  0.4865174608E+01  0.4903748928E+01
