  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.64278761E+01  0.76604444E+01  0.00000000E+00  0.00000000E+00
  0.10000000E-01  0.64253613E-01  0.76133578E-01  0.64222972E+01  0.75558342E+01  0.64278761E-01  0.76114444E-01
  0.20000000E-01  0.12845167E+00  0.15122171E+00  0.64167697E+01  0.74513693E+01  0.12855752E+00  0.15124889E+00
  0.30000000E-01  0.19259468E+00  0.22526584E+00  0.64112932E+01  0.73470476E+01  0.19283628E+00  0.22540333E+00
  0.40000000E-01  0.25668315E+00  0.29826739E+00  0.64058673E+01  0.72428672E+01  0.25711504E+00  0.29857778E+00
  0.50000000E-01  0.32071760E+00  0.37022776E+00  0.64004915E+01  0.71388262E+01  0.32139380E+00  0.37077222E+00
  0.60000000E-01  0.38469850E+00  0.44114834E+00  0.63951653E+01  0.70349225E+01  0.38567257E+00  0.44198667E+00
  0.70000000E-01  0.44862637E+00  0.51103050E+00  0.63898883E+01  0.69311542E+01  0.44995133E+00  0.51222111E+00
  0.80000000E-01  0.51250168E+00  0.57987557E+00  0.63846602E+01  0.68275194E+01  0.51423009E+00  0.58147555E+00
  0.90000000E-01  0.57632494E+00  0.64768490E+00  0.63794804E+01  0.67240162E+01  0.57850885E+00  0.64975000E+00
  0.10000000E+00  0.64009661E+00  0.71445977E+00  0.63743484E+01  0.66206428E+01  0.64278761E+00  0.71704444E+00
  0.11000000E+00  0.70381717E+00  0.78020149E+00  0.63692639E+01  0.65173971E+01  0.70706637E+00  0.78335889E+00
  0.12000000E+00  0.76748710E+00  0.84491132E+00  0.63642264E+01  0.64142774E+01  0.77134513E+00  0.84869333E+00
  0.13000000E+00  0.83110687E+00  0.90859051E+00  0.63592353E+01  0.63112819E+01  0.83562389E+00  0.91304778E+00
  0.14000000E+00  0.89467693E+00  0.97124030E+00  0.63542903E+01  0.62084086E+01  0.89990265E+00  0.97642222E+00
  0.15000000E+00  0.95819775E+00  0.10328619E+01  0.63493909E+01  0.61056558E+01  0.96418141E+00  0.10388167E+01
  0.16000000E+00  0.10216698E+01  0.10934565E+01  0.63445366E+01  0.60030217E+01  0.10284602E+01  0.11002311E+01
  0.17000000E+00  0.10850935E+01  0.11530253E+01  0.63397269E+01  0.59005045E+01  0.10927389E+01  0.11606656E+01
  0.18000000E+00  0.11484693E+01  0.12115694E+01  0.63349613E+01  0.57981024E+01  0.11570177E+01  0.12201200E+01
  0.19000000E+00  0.12117976E+01  0.12690901E+01  0.63302394E+01  0.56958136E+01  0.12212965E+01  0.12785944E+01
  0.20000000E+00  0.12750789E+01  0.13255883E+01  0.63255607E+01  0.55936365E+01  0.12855752E+01  0.13360889E+01
