  0.0000000000E+00  0.1000000000E+01  0.0000000000E+00  0.1000000000E+01  0.0000000000E+00
  0.1000000000E-01  0.1000000000E+01 -0.9800000000E-01  0.9995100000E+00 -0.9800000000E-01
  0.2000000000E-01  0.9990200000E+00 -0.1960000000E+00  0.9980400000E+00 -0.1960000000E+00
  0.3000000000E-01  0.9970600000E+00 -0.2940000000E+00  0.9955900000E+00 -0.2940000000E+00
  0.4000000000E-01  0.9941200000E+00 -0.3920000000E+00  0.9921600000E+00 -0.3920000000E+00
  0.5000000000E-01  0.9902000000E+00 -0.4900000000E+00  0.9877500000E+00 -0.4900000000E+00
  0.6000000000E-01  0.9853000000E+00 -0.5880000000E+00  0.9823600000E+00 -0.5880000000E+00
  0.7000000000E-01  0.9794200000E+00 -0.6860000000E+00  0.9759900000E+00 -0.6860000000E+00
  0.8000000000E-01  0.9725600000E+00 -0.7840000000E+00  0.9686400000E+00 -0.7840000000E+00
  0.9000000000E-01  0.9647200000E+00 -0.8820000000E+00  0.9603100000E+00 -0.8820000000E+00
  0.1000000000E+00  0.9559000000E+00 -0.9800000000E+00  0.9510000000E+00 -0.9800000000E+00
  0.1100000000E+00  0.9461000000E+00 -0.1078000000E+01  0.9407100000E+00 -0.1078000000E+01
  0.1200000000E+00  0.9353200000E+00 -0.1176000000E+01  0.9294400000E+00 -0.1176000000E+01
  0.1300000000E+00  0.9235600000E+00 -0.1274000000E+01  0.9171900000E+00 -0.1274000000E+01
  0.1400000000E+00  0.9108200000E+00 -0.1372000000E+01  0.9039600000E+00 -0.1372000000E+01
  0.1500000000E+00  0.8971000000E+00 -0.1470000000E+01  0.8897500000E+00 -0.1470000000E+01
  0.1600000000E+00  0.8824000000E+00 -0.1568000000E+01  0.8745600000E+00 -0.1568000000E+01
  0.1700000000E+00  0.8667200000E+00 -0.1666000000E+01  0.8583900000E+00 -0.1666000000E+01
  0.1800000000E+00  0.8500600000E+00 -0.1764000000E+01  0.8412400000E+00 -0.1764000000E+01
  0.1900000000E+00  0.8324200000E+00 -0.1862000000E+01  0.8231100000E+00 -0.1862000000E+01
  0.2000000000E+00  0.8138000000E+00 -0.1960000000E+01  0.8040000000E+00 -0.1960000000E+01
  0.2100000000E+00  0.7942000000E+00 -0.2058000000E+01  0.7839100000E+00 -0.2058000000E+01
  0.2200000000E+00  0.7736200000E+00 -0.2156000000E+01  0.7628400000E+00 -0.2156000000E+01
  0.2300000000E+00  0.7520600000E+00 -0.2254000000E+01  0.7407900000E+00 -0.2254000000E+01
  0.2400000000E+00  0.7295200000E+00 -0.2352000000E+01  0.7177600000E+00 -0.2352000000E+01
  0.2500000000E+00  0.7060000000E+00 -0.2450000000E+01  0.6937500000E+00 -0.2450000000E+01
  0.2600000000E+00  0.6815000000E+00 -0.2548000000E+01  0.6687600000E+00 -0.2548000000E+01
  0.2700000000E+00  0.6560200000E+00 -0.2646000000E+01  0.6427900000E+00 -0.2646000000E+01
  0.2800000000E+00  0.6295600000E+00 -0.2744000000E+01  0.6158400000E+00 -0.2744000000E+01
  0.2900000000E+00  0.6021200000E+00 -0.2842000000E+01  0.5879100000E+00 -0.2842000000E+01
